1,2,3,4,5,6,7,8,9,10,11,12
176.4953,171.8288,177.416,180.6072,174.5893,168.1466,169.7353,172.3274,174.0282,171.9915,177.1455,174.7041
177.5585,172.1353,177.9393,180.87,174.9863,168.4663,170.3602,172.6876,176.8642,173.156,177.748,177.4368
177.7808,172.2913,178.0823,181.0058,175.1236,168.6176,170.5186,172.8799,179.7856,174.3262,178.7921,180.1129
181.9772,172.5046,179.5764,181.2031,176.0021,168.8356,172.3583,173.1705,,,,
183.1674,172.7378,180.2873,181.4076,176.5443,169.1107,173.4208,173.4781,,,,
183.3661,172.839,180.421,181.5015,176.6648,169.2211,173.5939,173.5879,,,,
184.3416,173.0763,180.9307,181.7232,177.0928,169.4772,174.2284,173.8554,,,,
0,173.2805,0,181.9013,0,169.4772,0,174.1115,,,,
0,173.5153,0,182.1210,0,169.9870,0,174.4623,,,,
0,173.6248,0,182.2226,0,170.1125,0,174.5719,,,,